trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,14,0,27.058705812785774,11.108254979364574,0.0008600177243351936,38.167845407966524,17091,178,False,12.56301212310791,13.54296875,
2,bench,0,0,ok,json,2,0,26.236288961954415,4.90409639198333,0.00033466797322034836,31.14073902601376,17088,29,False,12.562827587127686,13.54296875,
3,closeup,0,0,ok,json,1,0,25.831478754989803,4.285752178635448,0.00044480012729763985,30.117698075715452,17094,13,False,12.56398868560791,13.54296875,
4,football,0,0,ok,json_empty,0,0,25.770382529124618,3.83739783288911,0.0007223072461783886,29.608523012138903,17092,2,False,12.563602447509766,13.54296875,
