trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json_empty,0,0,29.92662646388635,5.333761906716973,0.0006856000982224941,35.26108939293772,16049,2,False,10.142508029937744,12.3359375,
2,bench,0,0,ok,json_empty,0,0,24.521733414381742,4.901775368954986,0.0002655899152159691,29.42379434313625,16046,2,False,10.142507553100586,12.3359375,
3,closeup,0,0,ok,json,1,0,24.6657685469836,5.0343518308363855,0.00025000423192977905,29.700390113983303,16052,12,False,10.141944408416748,12.3359375,
4,football,0,0,ok,json_empty,0,0,23.92423305939883,4.825543227605522,0.00022447621449828148,28.75001445133239,16050,2,False,10.141936779022217,12.3359375,
