trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,error,,,,,,,1.6512511339969933,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
2,shot,1,0,error,,,,,,,0.0020827949047088623,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
3,dark_shot,0,0,error,,,,,,,0.0017948262393474579,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
4,dark_shot,1,0,error,,,,,,,0.001970879267901182,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
5,free_throw,0,0,error,,,,,,,0.0017739757895469666,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
6,free_throw,1,0,error,,,,,,,0.0017869467847049236,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
7,bench,0,0,error,,,,,,,0.0019527832046151161,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
8,bench,1,0,error,,,,,,,0.0020465031266212463,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
9,closeup,0,0,error,,,,,,,0.001894356682896614,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
10,closeup,1,0,error,,,,,,,0.001880061812698841,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
11,dunk,0,0,error,,,,,,,0.0018258960917592049,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
12,dunk,1,0,error,,,,,,,0.0018959217704832554,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
13,football,0,0,error,,,,,,,0.0018328330479562283,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
14,football,1,0,error,,,,,,,0.0017848960123956203,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
15,swimming,0,0,error,,,,,,,0.0018353313207626343,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
16,swimming,1,0,error,,,,,,,0.0015181503258645535,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
17,shot,0,1,error,,,,,,,0.001515761949121952,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
18,shot,1,1,error,,,,,,,0.0013971300795674324,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
19,dark_shot,0,1,error,,,,,,,0.0012761401012539864,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
20,dark_shot,1,1,error,,,,,,,0.001275310292840004,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
21,free_throw,0,1,error,,,,,,,0.0012600789777934551,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
22,free_throw,1,1,error,,,,,,,0.001284490805119276,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
23,bench,0,1,error,,,,,,,0.001170869916677475,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
24,bench,1,1,error,,,,,,,0.0010765851475298405,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
25,closeup,0,1,error,,,,,,,0.0010374370031058788,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
26,closeup,1,1,error,,,,,,,0.0010221367701888084,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
27,dunk,0,1,error,,,,,,,0.000937820877879858,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
28,dunk,1,1,error,,,,,,,0.0009504030458629131,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
29,football,0,1,error,,,,,,,0.0009128539822995663,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
30,football,1,1,error,,,,,,,0.0008943169377744198,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
31,swimming,0,1,error,,,,,,,0.0009329617023468018,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
32,swimming,1,1,error,,,,,,,0.0008682450279593468,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
33,shot,0,2,error,,,,,,,0.0008805561810731888,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
34,shot,1,2,error,,,,,,,0.0009324159473180771,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
35,dark_shot,0,2,error,,,,,,,0.000834035687148571,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
36,dark_shot,1,2,error,,,,,,,0.0008313870057463646,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
37,free_throw,0,2,error,,,,,,,0.0007832469418644905,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
38,free_throw,1,2,error,,,,,,,0.0007867948152124882,,,,16.330106735229492,16.357421875,KeyError: 'video_fps'
