trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json_empty,0,0,29.343973653391004,5.991019476670772,0.0011366810649633408,35.33615742623806,16049,2,False,False,0,False,10.142508029937744,12.3359375,
2,dark_shot,0,0,ok,json_empty,0,0,26.117171769030392,4.752198006957769,0.0002885321155190468,30.869684698060155,16053,2,False,False,0,False,10.141948223114014,12.3359375,
3,bench,0,0,ok,json_empty,0,0,25.03805880388245,4.815948935225606,0.00023354683071374893,29.854252411983907,16046,2,False,False,0,False,10.142507553100586,12.3359375,
4,closeup,0,0,ok,json,1,0,25.436483285855502,5.1012399648316205,0.00026095518842339516,30.537995183840394,16052,12,False,False,0,True,10.141944408416748,12.3359375,
5,football,0,0,ok,json_empty,0,0,25.742442147806287,4.690970068797469,0.00028466805815696716,30.4337214557454,16050,2,False,False,0,False,10.141936779022217,12.3359375,
