model,condition,shot_count,dark_shot_count,bench_count,closeup_count,football_count,mean_wall_s,mean_preprocess_s,mean_generate_s,median_wall_s,mean_positive_wall_s,mean_nonfirst_wall_s,min_wall_s,max_wall_s,peak_allocated_gib,peak_reserved_gib,mean_input_tokens,mean_output_tokens,peak_sampled_rss_gib,session_s,load_s
timelens2-4b,A,10,8,4,2,0,28.716544420551507,15.914017159864306,12.801859981846064,27.00460342783481,29.755330266198143,27.237900120439008,24.56140103796497,34.63112162100151,16.42585802078247,18.09765625,32255,62.8,7.139644622802734,160.19,7.679544745013118
timelens-8b,A,22,14,4,21,0,40.515608554147185,16.266844808403402,24.248076847195627,41.87529606278986,43.62871414422989,37.77986996143591,28.063186193816364,51.45856292499229,25.676992893218994,28.244140625,32255,177,7.084968566894531,260.35,41.1750450511463
timelens2-4b,B,5,3,2,2,0,37.50969727691263,27.48262831903994,10.02648861007765,37.261684719938785,38.228933530976065,36.55186004890129,34.63275226065889,41.34104618895799,15.93674373626709,17.443359375,30412,30,10.464195251464844,210.29,8.222638017032295
timelens-8b,B,27,27,3,10,0,53.52650139313191,29.213350288663058,24.312341960705815,48.69139221403748,56.9744506488787,48.988123419112526,39.734704370144755,71.68001328920946,25.11313819885254,27.357421875,30412,191.2,10.817546844482422,320.49,39.55779467802495
timelens2-4b,C,5,3,5,3,0,52.857548975665125,40.78836180549115,12.068503809720278,50.92305654101074,53.96680942783132,50.652131167356856,48.42050716700032,61.67922020889819,16.83569860458374,19.412109375,34131,40,18.241867065429688,320.5,40.281983288004994
timelens-8b,C,30,24,5,12,0,65.80281410887838,38.914435719419274,26.887626126036047,64.0240624640137,69.49870367499534,61.835690031643026,51.01925584441051,81.67131041781977,26.137248516082764,28.35546875,34131,203.4,18.049236297607422,350.65,9.092333511915058
timelens2-4b,D,14,4,2,1,0,32.031669202353804,25.99754644641653,6.0334722370840606,30.853618153836578,32.45607583865058,30.24586940940935,27.58684038836509,39.17486837413162,12.56418228149414,13.54296875,17092,54,9.970504760742188,190.34,16.69788084505126
timelens-8b,D,30,20,3,11,0,41.3118166860193,27.03614646755159,14.274920048750937,40.26301834825426,43.4787264270708,38.29407095175702,32.64417772181332,53.38279962306842,21.244354248046875,22.375,17092,182.8,9.94110107421875,230.47,8.880175509955734
