model,letter,query_id,span_count,components,union_s,coverage_pct,wall_s,preprocess_s,generate_s,input_tokens,output_tokens,grid_frames,derived_width,derived_height,derived_visual_tokens,peak_allocated_gib,peak_reserved_gib,strict_json,incomplete_output
timelens-8b,C,dark_shot,24,24,103.0,46.28055602568346,75.04560040822253,38.63510731700808,36.40982082718983,34134,342,444,512,288,31968,26.137248516082764,28.35546875,True,False
timelens-8b,C,bench,5,5,15.0,6.739886799856815,57.25384140992537,39.40862464904785,17.844706762116402,34127,74,444,512,288,31968,26.135589599609375,28.35546875,True,False
timelens-8b,C,closeup,12,12,37.0,16.625054106313478,64.0240624640137,39.04383961297572,24.979620563797653,34133,177,444,512,288,31968,26.137011528015137,28.35546875,True,False
timelens-8b,C,football,0,0,0,0.0,51.01925584441051,38.172817923128605,12.846032208297402,34131,2,444,512,288,31968,26.136537551879883,28.35546875,True,False
timelens2-4b,D,shot,14,14,51.0,22.91561511951317,39.17486837413162,27.946873243898153,11.226846192032099,17091,178,222,512,288,15984,12.56301212310791,13.54296875,True,False
timelens2-4b,D,dark_shot,4,4,9.0,4.0439320799140885,32.20897643826902,26.467570743057877,5.740989718120545,17095,48,222,512,288,15984,12.56418228149414,13.54296875,True,False
timelens2-4b,D,bench,2,2,35.0,15.726402532999234,30.853618153836578,25.896825585048646,4.956307899206877,17088,29,222,512,288,15984,12.562827587127686,13.54296875,True,False
timelens2-4b,D,closeup,1,1,7.0,3.145280506599847,27.58684038836509,23.25033690733835,4.336167491972446,17094,13,222,512,288,15984,12.56398868560791,13.54296875,True,False
timelens2-4b,D,football,0,0,0,0.0,30.33404265716672,26.42612575273961,3.9070498840883374,17092,2,222,512,288,15984,12.563602447509766,13.54296875,True,False
timelens-8b,D,shot,30,30,95.0,42.685949732426494,53.38279962306842,27.22367274016142,26.157460022717714,17091,421,222,512,288,15984,21.243436813354492,22.375,True,False
timelens-8b,D,dark_shot,20,20,66.0,29.655501919369986,46.19914481602609,27.072561660781503,19.125931526068598,17095,283,222,512,288,15984,21.244354248046875,22.375,True,False
timelens-8b,D,bench,3,3,12.0,5.391909439885452,34.06994292093441,26.434818181674927,7.634699168149382,17088,48,222,512,288,15984,21.242745876312256,22.375,True,False
timelens-8b,D,closeup,11,11,51.0,22.91561511951317,40.26301834825426,27.22845883620903,13.03398219589144,17094,160,222,512,288,15984,21.24412441253662,22.375,True,False
timelens-8b,D,football,0,0,0,0.0,32.64417772181332,27.221220918931067,5.422527330927551,17092,2,222,512,288,15984,21.24366569519043,22.375,True,False
