trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,1,0,30.23139279289171,12.589079616125673,0.0009690187871456146,42.821465408895165,17114,174,False,19.04879665374756,21.98828125,
2,bench,0,0,ok,json,1,0,26.171405741013587,6.806699655018747,0.00041488418355584145,32.97852950217202,17111,15,False,19.048234939575195,21.98828125,
3,closeup,0,0,ok,json,1,0,25.14610552880913,18.585397112183273,0.0007062847726047039,43.73222467675805,17117,402,False,19.050325393676758,21.98828125,
4,football,0,0,ok,json_empty,0,0,25.809259988367558,6.553540191613138,0.0001875273883342743,32.362998289987445,17115,2,False,19.04898452758789,21.98828125,
