trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,error,,,,,,,0.058009531814605,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
2,shot,1,0,error,,,,,,,0.0009619561024010181,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
3,dark_shot,0,0,error,,,,,,,0.0007559722289443016,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
4,dark_shot,1,0,error,,,,,,,0.0008263909257948399,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
5,free_throw,0,0,error,,,,,,,0.0007611038163304329,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
6,free_throw,1,0,error,,,,,,,0.0007406049408018589,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
7,bench,0,0,error,,,,,,,0.0007508359849452972,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
8,bench,1,0,error,,,,,,,0.0008251871913671494,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
9,closeup,0,0,error,,,,,,,0.0007371837273240089,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
10,closeup,1,0,error,,,,,,,0.0007439181208610535,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
11,dunk,0,0,error,,,,,,,0.0007409127429127693,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
12,dunk,1,0,error,,,,,,,0.0007173358462750912,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
13,football,0,0,error,,,,,,,0.0007433667778968811,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
14,football,1,0,error,,,,,,,0.0007311059162020683,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
15,swimming,0,0,error,,,,,,,0.0008172411471605301,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
16,swimming,1,0,error,,,,,,,0.0007365820929408073,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
