trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json_objects,11,0,28.74661528132856,14.585936697665602,0.0012485911138355732,43.333813436329365,16049,252,False,False,0,True,18.851808547973633,21.94140625,
2,dark_shot,0,0,ok,json_objects,11,0,26.44276797119528,13.951348370872438,0.0006102612242102623,40.39475044095889,16053,252,False,False,0,True,18.85197353363037,22.509765625,
3,bench,0,0,ok,json_objects,1,0,25.53279833123088,6.941000372637063,0.0006894031539559364,32.47451062919572,16046,30,False,False,0,True,18.851449489593506,22.509765625,
4,closeup,0,0,ok,json_objects,2,0,26.867996795102954,7.658642967231572,0.0003526727668941021,34.52700381819159,16052,49,False,False,0,True,18.851868629455566,22.509765625,
5,football,0,0,ok,json_empty,0,0,26.598989584017545,6.1584508628584445,0.0003101271577179432,32.75777043076232,16050,2,False,False,0,False,18.851726531982422,22.509765625,
