trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,30,0,31.369542302098125,25.84641696419567,0.0011709388345479965,57.217155231162906,17091,421,False,21.243436813354492,22.375,
2,bench,0,0,ok,json,3,0,26.08527105068788,7.563081581145525,0.0007511759176850319,33.64912612270564,17088,48,False,21.242745876312256,22.375,
3,closeup,0,0,ok,json,11,0,26.053423881996423,12.912979843094945,0.0004297778941690922,38.96685221372172,17094,160,False,21.24412441253662,22.375,
4,football,0,0,ok,json_empty,0,0,25.778367957100272,5.3705589370802045,0.00025777798146009445,31.14920530701056,17092,2,False,21.24366569519043,22.375,
