model,shot_count,dark_shot_count,bench_count,closeup_count,football_count,mean_wall_s,min_wall_s,max_wall_s,mean_preprocess_s,mean_generate_s,peak_allocated_gib,input_tokens_min,input_tokens_max,incomplete_count,invalid_span_count,default_shot_count,legacy_shot_count,shot_connected_components,shot_union_s,shot_union_percent
timelens2-4b,14,4,2,1,0,32.31668243696913,30.06238968996331,38.87913543917239,26.371932757180183,5.944143782556057,12.56418228149414,17088,17095,0,0,5,14,14,51.0,22.91561511951317
timelens2-8b,1,14,2,1,0,33.38152191415429,31.68738924106583,38.33251803088933,25.71624071393162,7.6646144797094165,21.244354248046875,17088,17095,0,0,1,1,1,209.0,93.90908941133829
timelens-8b,30,20,3,11,0,41.43558785850182,32.54526973282918,55.603280906099826,27.19124433370307,14.243645129259676,21.244354248046875,17088,17095,0,0,1,0,30,95.0,42.685949732426494
timelens-7b,13,1,1,31,0,38.060338928271086,33.71402025502175,45.06910342397168,27.762018341757358,10.297693750448525,19.05050563812256,17111,17118,0,0,1,0,13,54.49999999999998,24.488255372813082
time-r1-7b,11,11,1,2,0,36.69756975108758,32.47451062919572,43.333813436329365,26.837833592575045,9.859075854253025,18.85197353363037,16046,16053,0,0,1,0,11,187.3,84.15871984087877
time-r1-3b,0,0,0,1,0,31.40636223517358,29.854252411983907,35.33615742623806,26.33562593199313,5.070275290496648,10.142508029937744,16046,16053,0,0,1,0,0,0,0.0
qwen3-vl-8b,98,45,3,160,0,72.41399327395484,31.511642937082797,131.67502916092053,26.92517721960321,45.48767046052963,21.254967212677002,17088,17095,1,0,1,0,2,198.5,89.19116865143852
qwen2.5-vl-7b,91,91,1,14,0,59.16626219889149,31.939494241960347,95.03612562594935,25.78595419395715,33.37910513048992,18.85197353363037,16046,16053,2,74,1,0,51,109.19999999999999,49.06637590295761
