trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,14,0,27.946873243898153,11.226846192032099,0.001120538916438818,39.17486837413162,17091,178,False,False,14,False,12.56301212310791,13.54296875,
2,dark_shot,0,0,ok,json,4,0,26.467570743057877,5.740989718120545,0.00039391592144966125,32.20897643826902,17095,48,False,False,4,False,12.56418228149414,13.54296875,
3,bench,0,0,ok,json,2,0,25.896825585048646,4.956307899206877,0.0004618139937520027,30.853618153836578,17088,29,False,False,2,False,12.562827587127686,13.54296875,
4,closeup,0,0,ok,json,1,0,23.25033690733835,4.336167491972446,0.0003162287175655365,27.58684038836509,17094,13,False,False,1,False,12.56398868560791,13.54296875,
5,football,0,0,ok,json_empty,0,0,26.42612575273961,3.9070498840883374,0.0008434401825070381,30.33404265716672,17092,2,False,False,0,False,12.563602447509766,13.54296875,
