trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,30,0,27.22367274016142,26.157460022717714,0.0016382220201194286,53.38279962306842,17091,421,False,False,0,True,21.243436813354492,22.375,
2,dark_shot,0,0,ok,json,20,0,27.072561660781503,19.125931526068598,0.000629977323114872,46.19914481602609,17095,283,False,False,0,True,21.244354248046875,22.375,
3,bench,0,0,ok,json,3,0,26.434818181674927,7.634699168149382,0.00040579307824373245,34.06994292093441,17088,48,False,False,0,True,21.242745876312256,22.375,
4,closeup,0,0,ok,json,11,0,27.22845883620903,13.03398219589144,0.0005542528815567493,40.26301834825426,17094,160,False,False,0,True,21.24412441253662,22.375,
5,football,0,0,ok,json_empty,0,0,27.221220918931067,5.422527330927551,0.00040108710527420044,32.64417772181332,17092,2,False,False,0,False,21.24366569519043,22.375,
