trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,unparsed,0,0,25.938511750660837,14.264247629325837,0.0010618707165122032,40.20383605081588,16049,252,False,18.851808547973633,21.94140625,
2,bench,0,0,ok,unparsed,0,0,25.64599511399865,7.156639664899558,0.0002756258472800255,32.80292296083644,16046,30,False,18.851449489593506,21.94140625,
3,closeup,0,0,ok,unparsed,0,0,25.88509734813124,7.540918393060565,0.0003864807076752186,33.42642788821831,16052,49,False,18.851868629455566,22.509765625,
4,football,0,0,ok,json_empty,0,0,25.551877515390515,6.195721779949963,0.00023012375459074974,31.74784010834992,16050,2,False,18.851726531982422,22.509765625,
