trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,5,0,29.38272472890094,11.957275340799242,0.001019646879285574,41.34104618895799,30411,58,False,False,5,False,15.935898780822754,17.443359375,
2,dark_shot,0,0,ok,json,3,0,27.19958751089871,10.285104524809867,0.0003429139032959938,37.4850540868938,30415,36,False,False,3,False,15.93674373626709,17.443359375,
3,bench,0,0,ok,json,2,0,27.40884251333773,9.852486456744373,0.00033703818917274475,37.261684719938785,30408,29,False,False,2,False,15.935264587402344,17.443359375,
4,closeup,0,0,ok,json,2,0,27.176775705069304,9.650802734307945,0.0003519495949149132,36.82794912811369,30414,25,False,False,2,False,15.936532020568848,17.443359375,
5,football,0,0,ok,json_empty,0,0,26.24521113699302,8.38677399372682,0.0007472513243556023,34.63275226065889,30412,2,False,False,0,False,15.93610954284668,17.443359375,
