trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,30,0,29.332041719928384,26.2697706669569,0.0014399001374840736,55.603280906099826,17091,421,False,False,0,True,21.243436813354492,22.375,
2,dark_shot,0,0,ok,json,20,0,25.502328090835363,18.972921312320977,0.000619890633970499,44.47589121479541,17095,283,False,False,0,True,21.244354248046875,22.375,
3,bench,0,0,ok,json,3,0,26.618660364765674,7.585718906950206,0.000445622019469738,34.2048463979736,17088,48,False,False,0,True,21.242745876312256,22.375,
4,closeup,0,0,ok,json,11,0,27.320330461952835,13.027799234259874,0.0004977146163582802,40.34865104081109,17094,160,False,False,0,True,21.24412441253662,22.375,
5,football,0,0,ok,json_empty,0,0,27.1828610310331,5.3620155258104205,0.00036833807826042175,32.54526973282918,17092,2,False,False,0,False,21.24366569519043,22.375,
