trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,27,0,32.11430118698627,39.56415907293558,0.0015248972922563553,71.68001328920946,30411,380,False,False,0,True,25.112221717834473,27.357421875,
2,dark_shot,0,0,ok,json,27,0,29.34019412426278,35.90533181000501,0.0007489277049899101,65.24629908520728,30415,381,False,False,0,True,25.11313819885254,27.357421875,
3,bench,0,0,ok,json,3,0,28.016103104222566,14.26352051179856,0.0004492620937526226,42.28009800706059,30408,48,False,False,0,True,25.111534118652344,27.357421875,
4,closeup,0,0,ok,json,10,0,28.165250801015645,20.525590987876058,0.000527398195117712,48.69139221403748,30414,145,False,False,0,True,25.112908840179443,27.357421875,
5,football,0,0,ok,json_empty,0,0,28.43090222682804,11.303107420913875,0.0006694854237139225,39.734704370144755,30412,2,False,False,0,False,25.11245059967041,27.357421875,
