trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,1,0,25.895091112237424,6.361707299947739,0.001072731800377369,32.25789751112461,17091,13,False,False,1,False,21.243436813354492,22.375,
2,dark_shot,0,0,ok,json,14,0,24.29827829496935,14.033689538948238,0.0005306368693709373,38.33251803088933,17095,184,False,False,14,False,21.244354248046875,22.375,
3,bench,0,0,ok,json,2,0,26.30490437988192,6.62700901273638,0.00038948701694607735,32.932320770807564,17088,29,False,False,2,False,21.242745876312256,22.375,
4,closeup,0,0,ok,json,1,0,25.752495967783034,5.944538780953735,0.0004273662343621254,31.69748401688412,17094,15,False,False,1,False,21.24412441253662,22.375,
5,football,0,0,ok,json_empty,0,0,26.330433814786375,5.356127765960991,0.0008088639006018639,31.68738924106583,17092,2,False,False,0,False,21.24366569519043,22.375,
