job_id,model,condition,job_status,fps,max_frames,total_tokens,max_new_tokens,prompt,trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,wall_s,preprocess_s,generate_s,decode_parse_s,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hit_output_limit,error
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,34,shot,1,2,error,,,,0.0007165609858930111,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,35,dark_shot,0,2,error,,,,0.0007828045636415482,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,36,dark_shot,1,2,error,,,,0.0007490711286664009,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,37,free_throw,0,2,error,,,,0.0007226858288049698,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,38,free_throw,1,2,error,,,,0.0007155002094805241,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,39,bench,0,2,error,,,,0.0007593207992613316,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,40,bench,1,2,error,,,,0.0007216599769890308,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,41,closeup,0,2,error,,,,0.0007084072567522526,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,42,closeup,1,2,error,,,,0.0007479740306735039,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,43,dunk,0,2,error,,,,0.0007091178558766842,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,44,dunk,1,2,error,,,,0.0007043667137622833,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,45,football,0,2,error,,,,0.0007329722866415977,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,46,football,1,2,error,,,,0.0008045248687267303,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,47,swimming,0,2,error,,,,0.0007528173737227917,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-4b__native,timelens2-4b,native,failed,1,256,16384,1024,native,48,swimming,1,2,error,,,,0.0007473882287740707,,,,8.272686004638672,9.0078125,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,1,shot,0,0,error,,,,1.6512511339969933,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,2,shot,1,0,error,,,,0.0020827949047088623,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,3,dark_shot,0,0,error,,,,0.0017948262393474579,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,4,dark_shot,1,0,error,,,,0.001970879267901182,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,5,free_throw,0,0,error,,,,0.0017739757895469666,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,6,free_throw,1,0,error,,,,0.0017869467847049236,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,7,bench,0,0,error,,,,0.0019527832046151161,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,8,bench,1,0,error,,,,0.0020465031266212463,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,9,closeup,0,0,error,,,,0.001894356682896614,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,10,closeup,1,0,error,,,,0.001880061812698841,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,11,dunk,0,0,error,,,,0.0018258960917592049,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,12,dunk,1,0,error,,,,0.0018959217704832554,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,13,football,0,0,error,,,,0.0018328330479562283,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,14,football,1,0,error,,,,0.0017848960123956203,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,15,swimming,0,0,error,,,,0.0018353313207626343,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,16,swimming,1,0,error,,,,0.0015181503258645535,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
