trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,10,0,17.268605732824653,17.361324689816684,0.00116318603977561,34.63112162100151,32254,130,False,False,10,False,16.425009727478027,18.095703125,
2,dark_shot,0,0,ok,json,8,0,16.4156960491091,14.87126648798585,0.0004506339319050312,31.287435457110405,32258,102,False,False,8,False,16.42585802078247,18.09765625,
3,bench,0,0,ok,json,4,0,14.87986005563289,12.12422356614843,0.0004958892241120338,27.00460342783481,32251,55,False,False,4,False,16.424376487731934,18.09765625,
4,closeup,0,0,ok,json,2,0,15.62540031177923,10.472414685413241,0.0003371839411556721,26.098160558845848,32257,25,False,False,2,False,16.425647258758545,18.09765625,
5,football,0,0,ok,json_empty,0,0,15.380523649975657,9.180070479866117,0.000783868134021759,24.56140103796497,32255,2,False,False,0,False,16.42522144317627,18.09765625,
