trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,partial_json_objects,24,0,26.739032468758523,22.43783078994602,0.0017454521730542183,49.17863497976214,16049,512,True,18.851808547973633,21.94140625,
2,bench,0,0,ok,json_objects,1,0,26.457553097978234,7.192389136180282,0.00046709878370165825,33.65042176330462,16046,30,False,18.851449489593506,21.94140625,
3,closeup,0,0,ok,json_objects,14,0,23.018757484853268,15.774483896326274,0.0006535868160426617,38.79391963314265,16052,322,False,18.851868629455566,22.509765625,
4,football,0,0,ok,json_empty,0,0,26.64554980304092,6.236516124103218,0.0002320469357073307,32.88231087382883,16050,2,False,18.851726531982422,22.509765625,
