trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,5,0,27.03018287802115,6.626546144951135,0.0007237689569592476,33.65748180868104,17090,59,False,12.562813758850098,13.54296875,
2,shot,1,0,ok,json,16,0,26.071165764238685,11.499494268093258,0.00042447494342923164,37.57110683992505,17091,201,False,12.563409805297852,13.54296875,
3,dark_shot,0,0,ok,json,3,0,25.98661384684965,5.206651935353875,0.0003291950561106205,31.193617208860815,17094,36,False,12.56398868560791,13.54296875,
4,dark_shot,1,0,ok,json,4,0,25.96629775268957,5.623484902083874,0.00038041500374674797,31.590186289977282,17094,48,False,12.56398868560791,13.54296875,
5,free_throw,0,0,ok,json,1,0,26.18731255689636,4.264319257810712,0.00041045621037483215,30.45205494761467,17088,13,False,12.562827587127686,13.54296875,
6,free_throw,1,0,ok,json,1,0,24.28780757030472,4.282999587710947,0.0003691902384161949,28.571195831056684,17094,13,False,12.56398868560791,13.54296875,
7,bench,0,0,ok,json,2,0,25.693235981743783,4.912430731114,0.0007585589773952961,30.60644857212901,17087,29,False,12.562634944915771,13.54296875,
