trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,22,0,18.0915100350976,33.365602237172425,0.0014229537919163704,51.45856292499229,32254,309,False,False,0,True,25.675509452819824,28.244140625,
2,dark_shot,0,0,ok,json,14,0,15.998407392762601,25.876328040845692,0.0005396651104092598,41.87529606278986,32258,204,False,False,0,True,25.676992893218994,28.244140625,
3,bench,0,0,ok,json,4,0,15.457551477942616,16.369879646226764,0.0004644356667995453,31.827915023081005,32251,61,False,False,0,True,25.674821853637695,28.244140625,
4,closeup,0,0,ok,json,21,0,16.272967311087996,33.07948227180168,0.0006133392453193665,49.3530825660564,32257,309,False,False,0,True,25.676756858825684,28.244140625,
5,football,0,0,ok,json_empty,0,0,15.513787825126201,12.549092039931566,0.00028425687924027443,28.063186193816364,32255,2,False,False,0,False,25.675739288330078,28.244140625,
