trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,5,0,48.10263858968392,13.575389656238258,0.0011649602092802525,61.67922020889819,34130,58,False,False,5,False,16.835187911987305,18.79296875,
2,dark_shot,0,0,ok,json,3,0,39.20596842188388,11.71666414802894,0.00040374835953116417,50.92305654101074,34134,36,False,False,3,False,16.83569860458374,19.412109375,
3,bench,0,0,ok,json,5,0,39.24658653372899,13.560414653271437,0.00045146094635128975,52.80747193703428,34127,67,False,False,5,False,16.833852767944336,19.412109375,
4,closeup,0,0,ok,json,3,0,38.656437867321074,11.800586585886776,0.00044221989810466766,50.457489024382085,34133,37,False,False,3,False,16.83486270904541,19.412109375,
5,football,0,0,ok,json_empty,0,0,38.730177614837885,9.689464005175978,0.0008462215773761272,48.42050716700032,34131,2,False,False,0,False,16.83452606201172,19.412109375,
