trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,14,0,27.763437253888696,11.114623379893601,0.0010490603744983673,38.87913543917239,17091,178,False,False,14,False,12.56301212310791,13.54296875,
2,dark_shot,0,0,ok,json,4,0,26.059695408679545,5.652134483214468,0.0003389301709830761,31.71219237986952,17095,48,False,False,4,False,12.56418228149414,13.54296875,
3,bench,0,0,ok,json,2,0,25.970454677939415,4.8704852047376335,0.00034811021760106087,30.841312397737056,17088,29,False,False,2,False,12.562827587127686,13.54296875,
4,closeup,0,0,ok,json,1,0,25.811580015346408,4.250397864729166,0.0003868849016726017,30.06238968996331,17094,13,False,False,1,False,12.56398868560791,13.54296875,
5,football,0,0,ok,json_empty,0,0,26.254496430046856,3.8330779802054167,0.0007857796736061573,30.08838227810338,17092,2,False,False,0,False,12.563602447509766,13.54296875,
