trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,30,0,39.3117890949361,42.35795026877895,0.0015459000132977962,81.67131041781977,34130,422,False,False,0,True,26.136300086975098,28.35546875,
2,dark_shot,0,0,ok,json,24,0,38.63510731700808,36.40982082718983,0.0006471467204391956,75.04560040822253,34134,342,False,False,0,True,26.137248516082764,28.35546875,
3,bench,0,0,ok,json,5,0,39.40862464904785,17.844706762116402,0.0004870109260082245,57.25384140992537,34127,74,False,False,0,True,26.135589599609375,28.35546875,
4,closeup,0,0,ok,json,12,0,39.04383961297572,24.979620563797653,0.000578876119107008,64.0240624640137,34133,177,False,False,0,True,26.137011528015137,28.35546875,
5,football,0,0,ok,json_empty,0,0,38.172817923128605,12.846032208297402,0.00038126762956380844,51.01925584441051,34131,2,False,False,0,False,26.136537551879883,28.35546875,
