trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,partial_json_objects,91,40,26.053707116749138,68.69412926118821,0.0026558898389339447,94.75052070710808,16049,2048,True,True,0,True,18.851808547973633,21.94140625,
2,dark_shot,0,0,ok,partial_json_objects,91,34,25.97735322173685,69.05684573715553,0.0019028480164706707,95.03612562594935,16053,2048,True,True,0,True,18.85197353363037,22.509765625,
3,bench,0,0,ok,json_objects,1,0,25.725132872816175,7.028716994915158,0.0005782702937722206,32.75444027362391,16046,30,False,False,0,True,18.851449489593506,22.509765625,
4,closeup,0,0,ok,json_objects,14,0,25.50077850976959,15.849454157054424,0.0004854341968894005,41.35073014581576,16052,322,False,False,0,True,18.851868629455566,22.509765625,
5,football,0,0,ok,json_empty,0,0,25.672799248714,6.26637950213626,0.0002919198013842106,31.939494241960347,16050,2,False,False,0,False,18.851726531982422,22.509765625,
