trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,1,0,27.079339024610817,6.334513242356479,0.0008232179097831249,33.41469863476232,17091,13,False,21.243436813354492,22.375,
2,bench,0,0,ok,json,2,0,25.968250560108572,6.644136033020914,0.00044360896572470665,32.612850565928966,17088,29,False,21.242745876312256,22.375,
3,closeup,0,0,ok,json,1,0,25.49363195989281,5.978919621091336,0.00042919768020510674,31.472999467980117,17094,15,False,21.24412441253662,22.375,
4,football,0,0,ok,json_empty,0,0,25.619573139119893,5.346458489075303,0.000735054723918438,30.96678591798991,17092,2,False,21.24366569519043,22.375,
