trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,peak_allocated_gib,peak_reserved_gib,error
1,shot,0,0,ok,json,13,0,31.04125074716285,12.357767366804183,0.0012586722150444984,43.4003079389222,17114,174,False,False,0,True,19.04879665374756,21.98828125,
2,dark_shot,0,0,ok,json,1,0,27.30637942906469,6.917538342066109,0.00028392160311341286,34.22421609610319,17118,13,False,False,0,True,19.05050563812256,21.98828125,
3,bench,0,0,ok,json,1,0,27.064067407976836,6.829595765098929,0.0003565591759979725,33.8940469273366,17111,15,False,False,0,True,19.048234939575195,21.98828125,
4,closeup,0,0,ok,json,31,0,26.148491568863392,18.919804024044424,0.0007813340052962303,45.06910342397168,17117,402,False,False,0,True,19.050325393676758,21.98828125,
5,football,0,0,ok,json_empty,0,0,27.249902555719018,6.463763254228979,0.00033839885145425797,33.71402025502175,17115,2,False,False,0,False,19.04898452758789,21.98828125,
